Rep	Year	RepSeason	NInds	NInd_stage1	NInd_stage2	NInd_stage3	NJuvs	NOccupPatches	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	32	0	0	32	12	2	0.0512821	161000	379000	97000	278000
0	1	0	36	10	0	26	10	2	0.0512821	161000	379000	97000	278000
0	2	0	36	9	7	20	11	2	0.0512821	161000	379000	97000	278000
0	3	0	33	10	5	18	15	2	0.0512821	161000	379000	97000	278000
0	4	0	29	8	2	19	4	2	0.0512821	161000	379000	97000	278000
0	5	0	24	3	4	17	15	2	0.0512821	161000	379000	97000	278000
0	6	0	34	14	3	17	6	3	0.0769231	161000	379000	97000	296000
0	7	0	26	5	9	12	6	3	0.0769231	161000	379000	97000	296000
0	8	0	22	3	1	18	19	4	0.102564	161000	379000	97000	296000
0	9	0	30	16	2	12	14	2	0.0512821	161000	379000	97000	278000
0	10	0	31	11	8	12	9	2	0.0512821	161000	379000	97000	278000
0	11	0	29	9	6	14	9	2	0.0512821	161000	379000	97000	278000
0	12	0	24	6	5	13	6	1	0.025641	161000	178000	97000	127000
0	13	0	22	5	4	13	2	2	0.0512821	161000	365000	97000	296000
0	14	0	17	2	2	13	8	2	0.0512821	161000	365000	97000	296000
0	15	0	21	8	1	12	2	2	0.0512821	161000	365000	97000	296000
0	16	0	18	2	6	10	3	1	0.025641	356000	365000	278000	296000
0	17	0	18	3	1	14	3	2	0.0512821	166000	365000	126000	296000
0	18	0	14	2	0	12	4	2	0.0512821	166000	365000	126000	296000
0	19	0	15	4	2	9	1	1	0.025641	166000	187000	126000	148000
0	20	0	12	1	1	10	1	1	0.025641	166000	187000	126000	148000
0	21	0	10	0	1	9	2	1	0.025641	166000	187000	126000	148000
0	22	0	4	0	0	4	0	0	0	464000	1000	450000	1000
0	23	0	3	0	0	3	0	0	0	464000	1000	450000	1000
0	24	0	3	0	0	3	0	0	0	464000	1000	450000	1000
0	25	0	1	0	0	1	0	0	0	464000	1000	450000	1000
0	26	0	1	0	0	1	0	0	0	464000	1000	450000	1000
0	27	0	1	0	0	1	0	0	0	464000	1000	450000	1000
0	28	0	1	0	0	1	0	0	0	464000	1000	450000	1000
0	29	0	1	0	0	1	0	0	0	464000	1000	450000	1000
0	30	0	1	0	0	1	0	0	0	464000	1000	450000	1000
0	31	0	1	0	0	1	0	0	0	464000	1000	450000	1000
0	32	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	32	0	0	32	17	2	0.0512821	161000	379000	97000	278000
1	1	0	27	4	0	23	17	2	0.0512821	161000	379000	97000	278000
1	2	0	29	11	3	15	5	2	0.0512821	161000	379000	97000	278000
1	3	0	23	4	7	12	7	2	0.0512821	161000	379000	97000	278000
1	4	0	19	5	2	12	17	3	0.0769231	161000	379000	97000	306000
1	5	0	28	13	3	12	14	3	0.0769231	161000	379000	97000	306000
1	6	0	31	14	6	11	8	2	0.0512821	161000	379000	97000	278000
