Year	Mean_OccupSuit	Std_error
0	0.025641	3.30751e-07
1	0.025641	3.30751e-07
2	0.0253846	0.00025641
3	0.0284615	0.00108694
4	0.0330769	0.00147116
5	0.0312821	0.00165331
6	0.0320513	0.00197525
7	0.034359	0.00228237
8	0.0351282	0.00235216
9	0.035641	0.0022729
10	0.0341026	0.00236342
11	0.034359	0.00247769
12	0.0333333	0.00243116
13	0.0341026	0.00255255
14	0.0328205	0.00257908
15	0.0302564	0.00237254
16	0.0323077	0.00251494
17	0.0338462	0.00286687
18	0.0374359	0.00322735
19	0.0392308	0.00356067
20	0.0392308	0.00346616
21	0.0376923	0.00352317
22	0.0387179	0.0037961
23	0.0433333	0.00435349
24	0.0430769	0.00453556
25	0.0425641	0.00455513
26	0.0451282	0.00487758
27	0.0489744	0.00510348
28	0.0515385	0.00519888
29	0.0541026	0.00547755
30	0.0569231	0.00576907
31	0.0594872	0.00622637
32	0.0612821	0.00612979
33	0.0664103	0.00622866
34	0.0707692	0.00669152
35	0.0707692	0.00671134
36	0.0728205	0.00703597
37	0.0717949	0.00659032
38	0.0738462	0.00678182
39	0.0761538	0.00727482
40	0.0841026	0.00805153
41	0.0866667	0.00829288
42	0.0905128	0.00871212
43	0.0930769	0.00893193
44	0.0938462	0.00878624
45	0.0994872	0.00927928
46	0.101282	0.00952016
47	0.103846	0.00969984
48	0.106667	0.00985837
49	0.111026	0.00998112
50	0.109744	0.00981354
51	0.115128	0.0101621
52	0.119231	0.0105146
53	0.125128	0.0109047
54	0.126923	0.0110684
55	0.127692	0.0112565
56	0.129744	0.0114833
57	0.127179	0.0109329
58	0.132821	0.0116872
59	0.132564	0.0116226
60	0.132564	0.0112628
61	0.135641	0.0118335
62	0.138205	0.0120922
63	0.144872	0.0123717
64	0.145897	0.0123627
65	0.150769	0.0127831
66	0.155641	0.0132773
67	0.163846	0.0141285
68	0.164872	0.0139505
69	0.157692	0.0131472
70	0.159744	0.0133601
71	0.155385	0.0131747
72	0.16359	0.0137516
73	0.165641	0.0140178
74	0.170513	0.0143453
75	0.163077	0.01376
76	0.162821	0.0138075
77	0.160256	0.0134913
78	0.167179	0.0139896
79	0.161795	0.0135714
80	0.163077	0.013966
81	0.166667	0.0140513
82	0.162821	0.0137255
83	0.166154	0.0139801
84	0.165385	0.0138938
85	0.165385	0.014112
86	0.17	0.0142351
87	0.177692	0.0148587
88	0.169744	0.0147669
89	0.171795	0.0149089
90	0.177436	0.0152139
91	0.174359	0.0148442
92	0.173077	0.014975
93	0.174359	0.0149689
94	0.18	0.0152849
95	0.178205	0.0149395
96	0.181538	0.0152227
97	0.178205	0.0150016
98	0.17359	0.0142547
99	0.180513	0.015289
100	0.18359	0.015491
