Rep	Year	RepSeason	NInds	NInd_stage1	NInd_stage2	NInd_stage3	NJuvs	NOccupPatches	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	10	0	0	10	7	1	0.025641	161000	178000	97000	127000
0	1	0	14	7	0	7	4	1	0.025641	161000	178000	97000	127000
0	2	0	14	4	3	7	6	1	0.025641	161000	178000	97000	127000
0	3	0	16	5	2	9	11	2	0.0512821	161000	187000	97000	148000
0	4	0	22	8	3	11	0	2	0.0512821	161000	187000	97000	148000
0	5	0	17	0	4	13	12	2	0.0512821	161000	187000	97000	148000
0	6	0	26	12	0	14	8	2	0.0512821	161000	187000	97000	148000
0	7	0	26	8	5	13	8	2	0.0512821	161000	187000	97000	148000
0	8	0	28	8	6	14	13	3	0.0769231	161000	227000	97000	198000
0	9	0	34	13	4	17	19	3	0.0769231	161000	227000	97000	198000
0	10	0	43	19	7	17	12	3	0.0769231	161000	227000	97000	198000
0	11	0	38	11	10	17	22	3	0.0769231	161000	227000	97000	198000
0	12	0	45	19	6	20	20	3	0.0769231	161000	227000	97000	198000
0	13	0	40	16	6	18	25	3	0.0769231	161000	227000	97000	198000
0	14	0	48	23	8	17	16	2	0.0512821	166000	227000	126000	198000
0	15	0	43	13	14	16	14	2	0.0512821	166000	227000	126000	198000
0	16	0	35	14	4	17	18	2	0.0512821	161000	227000	97000	198000
0	17	0	38	15	8	15	14	2	0.0512821	161000	227000	97000	198000
0	18	0	43	14	13	16	7	1	0.025641	166000	227000	135000	198000
0	19	0	38	6	10	22	22	3	0.0769231	166000	228000	135000	241000
0	20	0	46	16	4	26	13	3	0.0769231	166000	228000	135000	241000
0	21	0	42	12	8	22	19	2	0.0512821	166000	227000	135000	241000
0	22	0	43	12	7	24	36	2	0.0512821	166000	227000	126000	198000
0	23	0	68	33	8	27	27	2	0.0512821	166000	227000	126000	198000
0	24	0	70	22	22	26	29	3	0.0769231	166000	303000	126000	235000
0	25	0	77	27	14	36	31	4	0.102564	166000	227000	126000	225000
0	26	0	79	26	15	38	50	4	0.102564	161000	227000	97000	225000
0	27	0	93	35	19	39	29	6	0.153846	161000	303000	97000	235000
0	28	0	82	23	20	39	43	7	0.179487	161000	303000	97000	241000
0	29	0	90	38	11	41	37	7	0.179487	161000	308000	97000	306000
0	30	0	94	31	23	40	27	7	0.179487	161000	308000	97000	306000
0	31	0	93	24	17	52	29	8	0.205128	161000	308000	97000	306000
0	32	0	93	25	12	56	41	8	0.205128	161000	308000	97000	306000
0	33	0	90	32	9	49	32	5	0.128205	161000	308000	97000	306000
0	34	0	87	28	13	46	33	6	0.153846	161000	308000	97000	306000
0	35	0	82	29	14	39	18	6	0.153846	161000	308000	52000	306000
0	36	0	73	17	16	40	33	6	0.153846	161000	308000	52000	306000
0	37	0	84	31	11	42	28	5	0.128205	161000	308000	97000	306000
0	38	0	78	24	14	40	35	5	0.128205	161000	308000	97000	306000
0	39	0	75	26	14	35	18	4	0.102564	161000	308000	52000	306000
0	40	0	67	18	15	34	37	5	0.128205	161000	308000	97000	306000
0	41	0	72	31	8	33	34	4	0.102564	161000	303000	97000	277000
0	42	0	76	29	16	31	22	5	0.128205	161000	303000	97000	277000
0	43	0	70	18	16	36	46	8	0.205128	161000	346000	52000	311000
0	44	0	97	42	15	40	38	7	0.179487	161000	308000	52000	306000
0	45	0	102	32	27	43	44	7	0.179487	161000	308000	52000	306000
0	46	0	96	33	16	47	55	7	0.179487	161000	308000	97000	322000
0	47	0	112	46	17	49	22	6	0.153846	161000	308000	97000	322000
0	48	0	92	16	26	50	48	7	0.179487	161000	308000	97000	322000
0	49	0	103	40	5	58	58	9	0.230769	161000	379000	97000	322000
0	50	0	126	53	23	50	33	8	0.205128	166000	379000	126000	322000
0	51	0	103	28	22	53	47	8	0.205128	161000	379000	97000	322000
0	52	0	106	39	20	47	32	8	0.205128	161000	379000	97000	322000
0	53	0	96	30	19	47	41	8	0.205128	161000	379000	97000	322000
0	54	0	100	35	16	49	35	8	0.205128	161000	379000	97000	322000
0	55	0	105	30	18	57	44	9	0.230769	161000	379000	97000	322000
0	56	0	116	41	12	63	55	9	0.230769	161000	379000	97000	322000
0	57	0	117	43	22	52	33	7	0.179487	161000	303000	97000	322000
0	58	0	107	31	25	51	45	8	0.205128	166000	379000	110000	331000
0	59	0	108	38	15	55	44	8	0.205128	166000	379000	126000	331000
0	60	0	116	37	21	58	42	10	0.25641	166000	379000	58000	331000
0	61	0	113	29	23	61	61	9	0.230769	166000	379000	135000	331000
0	62	0	130	49	18	63	46	8	0.205128	166000	379000	135000	331000
0	63	0	123	39	26	58	37	7	0.179487	166000	379000	135000	331000
0	64	0	110	32	18	60	40	8	0.205128	166000	379000	135000	333000
0	65	0	110	34	19	57	45	9	0.230769	166000	379000	135000	336000
0	66	0	115	42	16	57	46	8	0.205128	166000	379000	135000	333000
0	67	0	103	38	14	51	36	7	0.179487	166000	379000	135000	333000
0	68	0	100	30	20	50	51	7	0.179487	166000	379000	135000	333000
