Year	Mean_OccupSuit	Std_error
0	0.025641	3.30751e-07
1	0.025641	3.30751e-07
2	0.025641	3.30751e-07
3	0.0289744	0.000866661
4	0.0312821	0.00124019
5	0.0341026	0.00154857
6	0.0382051	0.00172853
7	0.0392308	0.00213924
8	0.0420513	0.00234834
9	0.0438462	0.00228455
10	0.0435897	0.00245832
11	0.0479487	0.00256811
12	0.0471795	0.00251758
13	0.0476923	0.00270329
14	0.0469231	0.0027286
15	0.0435897	0.00294953
16	0.0464103	0.00295392
17	0.0474359	0.00301357
18	0.0476923	0.00328042
19	0.0492308	0.00352741
20	0.0551282	0.00403162
21	0.0594872	0.0044018
22	0.0623077	0.00479707
23	0.064359	0.00510868
24	0.0658974	0.0050401
25	0.0715385	0.00549449
26	0.0766667	0.00582538
27	0.0776923	0.00592664
28	0.0879487	0.00709739
29	0.095641	0.00771261
30	0.0976923	0.00757219
31	0.105897	0.00774526
32	0.108462	0.00805792
33	0.111538	0.00818483
34	0.11359	0.00843953
35	0.120769	0.00844771
36	0.131795	0.00924874
37	0.133846	0.00932426
38	0.140769	0.00972117
39	0.145128	0.0096576
40	0.15359	0.010572
41	0.157436	0.0110543
42	0.164615	0.0107939
43	0.168462	0.0104632
44	0.167949	0.0100098
45	0.17641	0.0107637
46	0.178205	0.0109478
47	0.186154	0.0111833
48	0.19641	0.0117543
49	0.203333	0.0118052
50	0.204872	0.0124152
51	0.205128	0.0123267
52	0.208974	0.0126267
53	0.218205	0.0126746
54	0.221538	0.0126905
55	0.23359	0.0136017
56	0.227692	0.0133969
57	0.231026	0.0133732
58	0.236667	0.0135427
59	0.246923	0.0141415
60	0.254615	0.0145699
61	0.260769	0.0149336
62	0.258974	0.0150992
63	0.268205	0.0152912
64	0.275897	0.0155952
65	0.274103	0.0154135
66	0.27	0.015121
67	0.270769	0.015116
68	0.273077	0.0150634
69	0.285128	0.0158409
70	0.28641	0.0159985
71	0.289744	0.0162189
72	0.293077	0.0160822
73	0.294359	0.016402
74	0.300256	0.0168605
75	0.302821	0.0167474
76	0.308718	0.0168156
77	0.305641	0.0161498
78	0.297436	0.0161553
79	0.302564	0.0162577
80	0.308205	0.016513
81	0.314103	0.0168411
82	0.314103	0.0168095
83	0.315641	0.0170071
84	0.316667	0.0168923
85	0.322821	0.0168636
86	0.319487	0.0169435
87	0.317179	0.017147
88	0.329487	0.0176911
89	0.331282	0.0174542
90	0.327692	0.017488
91	0.330513	0.0178574
92	0.337179	0.0179038
93	0.340513	0.0179989
94	0.348462	0.0181496
95	0.351795	0.0182772
96	0.351026	0.0187103
97	0.357179	0.0189626
98	0.361282	0.0189865
99	0.363077	0.0191211
100	0.361282	0.0187826
