Rep	Year	RepSeason	NInds	NInd_stage1	NInd_stage2	NInd_stage3	NJuvs	NOccupPatches	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	10	0	0	10	7	1	0.025641	161000	178000	97000	127000
0	1	0	14	7	0	7	4	1	0.025641	161000	178000	97000	127000
0	2	0	13	4	3	6	5	1	0.025641	161000	178000	97000	127000
0	3	0	10	5	0	5	1	1	0.025641	161000	178000	97000	127000
0	4	0	7	1	2	4	0	0	0	464000	1000	450000	1000
0	5	0	5	0	1	4	0	0	0	464000	1000	450000	1000
0	6	0	3	0	0	3	0	0	0	464000	1000	450000	1000
0	7	0	3	0	0	3	0	0	0	464000	1000	450000	1000
0	8	0	3	0	0	3	0	0	0	464000	1000	450000	1000
0	9	0	2	0	0	2	0	0	0	464000	1000	450000	1000
0	10	0	2	0	0	2	0	0	0	464000	1000	450000	1000
0	11	0	1	0	0	1	0	0	0	464000	1000	450000	1000
0	12	0	1	0	0	1	0	0	0	464000	1000	450000	1000
0	13	0	1	0	0	1	0	0	0	464000	1000	450000	1000
0	14	0	1	0	0	1	0	0	0	464000	1000	450000	1000
0	15	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	10	0	0	10	11	1	0.025641	161000	178000	97000	127000
1	1	0	11	5	0	6	5	1	0.025641	161000	178000	97000	127000
1	2	0	10	5	2	3	10	1	0.025641	161000	178000	97000	127000
1	3	0	15	8	4	3	0	0	0	464000	1000	450000	1000
1	4	0	5	0	1	4	0	0	0	464000	1000	450000	1000
1	5	0	5	0	0	5	0	0	0	464000	1000	450000	1000
1	6	0	4	0	0	4	0	0	0	464000	1000	450000	1000
1	7	0	3	0	0	3	0	0	0	464000	1000	450000	1000
1	8	0	3	0	0	3	0	0	0	464000	1000	450000	1000
1	9	0	1	0	0	1	0	0	0	464000	1000	450000	1000
1	10	0	1	0	0	1	0	0	0	464000	1000	450000	1000
1	11	0	1	0	0	1	0	0	0	464000	1000	450000	1000
1	12	0	1	0	0	1	0	0	0	464000	1000	450000	1000
1	13	0	1	0	0	1	0	0	0	464000	1000	450000	1000
1	14	0	1	0	0	1	0	0	0	464000	1000	450000	1000
1	15	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	10	0	0	10	4	1	0.025641	161000	178000	97000	127000
2	1	0	12	4	0	8	5	1	0.025641	161000	178000	97000	127000
2	2	0	16	5	3	8	5	1	0.025641	161000	178000	97000	127000
2	3	0	17	5	1	11	4	1	0.025641	161000	178000	97000	127000
2	4	0	14	3	2	9	9	2	0.0512821	161000	187000	97000	148000
2	5	0	15	9	1	5	2	1	0.025641	166000	187000	126000	148000
2	6	0	12	2	4	6	7	2	0.0512821	161000	187000	97000	148000
2	7	0	15	7	0	8	11	2	0.0512821	161000	187000	97000	148000
2	8	0	20	11	3	6	2	2	0.0512821	161000	187000	97000	148000
2	9	0	17	2	7	8	8	2	0.0512821	161000	187000	97000	148000
2	10	0	19	8	0	11	19	3	0.0769231	161000	227000	97000	198000
2	11	0	30	19	5	6	1	1	0.025641	166000	227000	135000	198000
2	12	0	19	1	14	4	0	0	0	464000	1000	450000	1000
2	13	0	10	0	0	10	3	1	0.025641	166000	187000	126000	148000
2	14	0	11	3	0	8	2	1	0.025641	166000	187000	126000	148000
2	15	0	10	1	1	8	0	1	0.025641	166000	187000	126000	148000
2	16	0	8	0	1	7	0	0	0	464000	1000	450000	1000
2	17	0	8	0	0	8	0	0	0	464000	1000	450000	1000
2	18	0	8	0	0	8	0	0	0	464000	1000	450000	1000
2	19	0	5	0	0	5	0	0	0	464000	1000	450000	1000
2	20	0	2	0	0	2	0	0	0	464000	1000	450000	1000
2	21	0	1	0	0	1	0	0	0	464000	1000	450000	1000
2	22	0	1	0	0	1	0	0	0	464000	1000	450000	1000
2	23	0	1	0	0	1	0	0	0	464000	1000	450000	1000
2	24	0	1	0	0	1	0	0	0	464000	1000	450000	1000
2	25	0	1	0	0	1	0	0	0	464000	1000	450000	1000
2	26	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	10	0	0	10	6	1	0.025641	161000	178000	97000	127000
3	1	0	13	6	0	7	4	1	0.025641	161000	178000	97000	127000
3	2	0	8	2	3	3	4	1	0.025641	161000	178000	97000	127000
3	3	0	8	4	2	2	2	1	0.025641	161000	178000	97000	127000
3	4	0	8	2	3	3	0	1	0.025641	161000	178000	97000	127000
3	5	0	6	0	1	5	9	1	0.025641	161000	178000	97000	127000
3	6	0	8	5	0	3	0	1	0.025641	161000	178000	97000	127000
3	7	0	7	0	4	3	3	1	0.025641	161000	178000	97000	127000
3	8	0	7	3	0	4	5	1	0.025641	161000	178000	97000	127000
3	9	0	7	5	0	2	0	0	0	464000	1000	450000	1000
3	10	0	4	0	3	1	0	0	0	464000	1000	450000	1000
3	11	0	1	0	0	1	0	0	0	464000	1000	450000	1000
3	12	0	1	0	0	1	0	0	0	464000	1000	450000	1000
3	13	0	1	0	0	1	0	0	0	464000	1000	450000	1000
3	14	0	1	0	0	1	0	0	0	464000	1000	450000	1000
