PatchID	Year_0	Year_1	Year_2	Year_3	Year_4	Year_5	Year_6	Year_7	Year_8	Year_9	Year_10	Year_11	Year_12	Year_13	Year_14	Year_15	Year_16	Year_17	Year_18	Year_19	Year_20	Year_21	Year_22	Year_23	Year_24	Year_25	Year_26	Year_27	Year_28	Year_29	Year_30	Year_31	Year_32	Year_33	Year_34	Year_35	Year_36	Year_37	Year_38	Year_39	Year_40	Year_41	Year_42	Year_43	Year_44	Year_45	Year_46	Year_47	Year_48	Year_49	Year_50	Year_51	Year_52	Year_53	Year_54	Year_55	Year_56	Year_57	Year_58	Year_59	Year_60	Year_61	Year_62	Year_63	Year_64	Year_65	Year_66	Year_67	Year_68	Year_69	Year_70	Year_71	Year_72	Year_73	Year_74	Year_75	Year_76	Year_77	Year_78	Year_79	Year_80	Year_81	Year_82	Year_83	Year_84	Year_85	Year_86	Year_87	Year_88	Year_89	Year_90	Year_91	Year_92	Year_93	Year_94	Year_95	Year_96	Year_97	Year_98	Year_99	Year_100
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0.03	0.04	0.03	0.03	0.04	0.06	0.04	0.04	0.03	0.04	0.07	0.1	0.07	0.08	0.11	0.12	0.14	0.13	0.11	0.14	0.12	0.14	0.15	0.15	0.14	0.15	0.15	0.15	0.16	0.14	0.15	0.18	0.18	0.18	0.18	0.19	0.2	0.2	0.16	0.19	0.2	0.21	0.23	0.2	0.2	0.19	0.21	0.23	0.21	0.19	0.21	0.22	0.23	0.24	0.24	0.22	0.26	0.29	0.29	0.27	0.28	0.27	0.27	0.28	0.31	0.3	0.29
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0.01	0.01	0.02	0	0.01	0.01	0	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0.01	0	0	0	0.01	0.01	0.01	0	0	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.03	0.03	0.01	0.03
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.02	0.02	0.02	0.04	0.04	0.06	0.07	0.05	0.09	0.09	0.08	0.1	0.12	0.09	0.11	0.08	0.08	0.11	0.11	0.08	0.08	0.08	0.07	0.1	0.13	0.15	0.11	0.16	0.15	0.13	0.15	0.15	0.17	0.18	0.17	0.16	0.17	0.16	0.18	0.16	0.15	0.12	0.15	0.16	0.13	0.14	0.13	0.13	0.13	0.18	0.13	0.16	0.2	0.17	0.17	0.21	0.22	0.17	0.19	0.21	0.16	0.19	0.21	0.19	0.22	0.22	0.25	0.2	0.18	0.2	0.21	0.18	0.18	0.2
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0.01	0	0.02	0.02	0.01	0.01	0.01	0	0	0	0.01	0.01	0	0.01	0.02	0.01	0	0	0.01	0	0	0	0.01	0	0	0.02	0.02	0	0	0.01	0	0.01	0.03	0.02	0.02	0.02	0.04	0.04	0.02	0.02	0.02	0.01	0	0	0	0	0	0.01	0.01	0	0	0	0.01
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0	0	0.02	0.02	0.02	0	0	0.02	0.05	0.04	0.05	0.05	0.06	0.07	0.07	0.08	0.08	0.1	0.1	0.08	0.09	0.09	0.1	0.1	0.1	0.1	0.09	0.11	0.11	0.13	0.12	0.12	0.1	0.11	0.13	0.12	0.14	0.18	0.12	0.17	0.17	0.16	0.14	0.15	0.17	0.17	0.18	0.19	0.19	0.19	0.18	0.19	0.18	0.19	0.16	0.19	0.22	0.17	0.17	0.17	0.18	0.19	0.19	0.18	0.17	0.17	0.19	0.19	0.2	0.19	0.2	0.21	0.22	0.21	0.21	0.2	0.22	0.23	0.25	0.22	0.22	0.27
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0.02	0.02	0.01	0.01	0.03	0.02	0.02	0.01	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.03	0.02	0.01	0.03	0.04	0.05	0.03	0.02	0.02	0.02	0.01	0.01	0.02	0.03	0.02	0.01	0	0.01	0.01	0	0.02	0.04	0.05	0.05	0.05	0.03	0.07	0.05	0.06	0.06	0.07	0.07	0.09	0.09	0.07	0.08	0.09	0.12	0.11	0.1	0.07	0.06	0.05	0.05	0.06	0.05	0.05	0.05	0.08	0.06	0.06	0.05
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0.01	0	0	0.02	0.03	0.04	0.02	0.01	0.01	0	0	0.02	0.01	0.03	0.05	0.06	0.06	0.04	0.04	0.04	0.05	0.04	0.04	0.05	0.03	0.02	0.04	0.04	0.06	0.06	0.06	0.05	0.04	0.05	0.05	0.06	0.04	0.05	0.05	0.04	0.04	0.02	0.04	0.05	0.03	0.05	0.04	0.04	0.04	0.04	0.05	0.07	0.05	0.04	0.06	0.06	0.07	0.08	0.05	0.07	0.07	0.06	0.08	0.09	0.08	0.06	0.05	0.06	0.05	0.06	0.04	0.04	0.06	0.08
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0.01	0.01	0	0	0.01	0.01	0.01	0.02	0.02	0.02	0.04	0.03	0.02	0.02	0.03	0.02	0.02	0.01	0.01	0.02	0.02	0.03	0.04	0.03	0.02	0.04	0.05	0.04	0.03	0.03	0.05	0.04	0.02	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0	0.02	0.02	0.02	0.01	0.01	0	0	0.03	0.02	0.03	0.02	0.02	0.03	0.02	0.02	0.02	0.03	0.04	0.02	0.03	0.03	0.03	0.03	0.02	0.01	0.01	0.02	0.01	0.02
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0.01	0.04	0.02	0.01	0.02	0	0.03	0.05	0.02	0.06	0.06	0.04	0.04	0.06	0.03	0.04	0.03	0.05	0.02	0.03	0.03	0.03	0.04	0.05	0.03	0.02	0	0.01	0.03	0.05	0.06	0.07	0.1	0.08	0.06	0.1	0.09	0.05	0.06	0.08	0.04	0.05	0.03	0.04	0.07	0.06	0.06	0.05	0.07	0.07	0.05	0.07	0.09	0.04	0.03	0.02	0.04	0.05	0.05	0.06	0.06	0.04	0.02	0.06	0.05	0.04	0.06	0.05	0.06	0.05	0.05	0.05	0.05	0.07	0.06
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0.01	0.03	0.03	0.02	0.06	0.06	0.09	0.09	0.1	0.16	0.14	0.14	0.14	0.15	0.18	0.17	0.18	0.18	0.19	0.15	0.2	0.12	0.16	0.17	0.17	0.2	0.21	0.23	0.18	0.21	0.22	0.21	0.24	0.26	0.25	0.25	0.27	0.23	0.24	0.26	0.24	0.25	0.22	0.2	0.2	0.19	0.17	0.16	0.18	0.27	0.26	0.24	0.23	0.24	0.24	0.27	0.23	0.23	0.21	0.2	0.17	0.18	0.2	0.22	0.21	0.21	0.25	0.25	0.25	0.24	0.23	0.24	0.22	0.25	0.26	0.21	0.22	0.26	0.23	0.21	0.22
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0.01	0.02	0.04	0.05	0.04	0.06	0.05	0.07	0.05	0.06	0.07	0.05	0.05	0.07	0.06	0.1	0.1	0.09	0.06	0.09	0.1	0.09	0.08	0.06	0.07	0.08	0.11	0.09	0.07	0.05	0.08	0.07	0.06	0.07	0.06	0.08	0.06	0.05	0.03	0.1	0.1	0.08	0.08	0.06	0.06	0.06	0.08	0.08	0.1	0.09	0.06	0.04	0.06	0.09	0.11	0.08	0.08	0.1	0.08	0.1	0.08	0.05	0.06	0.05	0.08	0.08	0.1	0.08	0.09	0.04	0.01	0.04	0.05	0.07	0.05	0.05	0.06	0.07	0.11	0.09
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0.01	0	0.01	0.01	0.01	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0.01	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0	0	0	0	0	0.01	0.01	0
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0.02	0.01	0	0.01	0.03	0.03	0.04	0.04	0.07	0.06	0.08	0.11	0.09	0.08	0.08	0.06	0.07	0.13	0.12	0.1	0.06	0.04	0.05	0.08	0.08	0.09	0.11	0.07	0.06	0.08	0.09	0.11	0.1	0.09	0.09	0.11	0.06	0.08	0.11	0.09	0.13	0.14	0.12	0.09	0.13	0.13	0.09	0.04	0.07	0.04	0.06	0.04	0.09	0.07	0.11	0.05	0.08	0.09	0.12	0.13	0.12	0.13	0.14	0.13	0.15	0.1	0.11	0.11	0.14	0.15	0.12	0.09	0.1	0.1	0.11	0.11	0.09	0.04	0.04	0.12	0.1	0.1	0.09	0.08	0.05
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.05	0.04	0.03	0.01	0.02	0.03	0.04	0.04	0.04	0.02	0.03	0.02	0.02	0.03	0.02	0.02	0.03	0.02	0.03	0.05	0.03	0.07	0.04	0.03	0.05	0.09	0.11	0.1	0.09	0.04	0.04	0.09	0.09	0.06	0.05	0.07	0.06	0.08	0.11	0.1	0.07	0.05	0.05	0.05	0.03	0.04	0.05	0.04	0.03	0.02	0.04	0.07	0.07	0.07	0.1	0.07	0.07	0.05	0.06	0.08	0.07	0.08	0.05	0.06	0.06	0.05	0.07	0.05	0.07	0.08	0.05	0.07	0.05	0.08	0.09	0.05	0.08	0.08	0.1	0.08	0.07	0.08	0.05
25	0	0	0	0	0.02	0.06	0.11	0.14	0.17	0.21	0.32	0.31	0.34	0.36	0.33	0.38	0.39	0.41	0.41	0.42	0.42	0.44	0.42	0.43	0.44	0.45	0.46	0.43	0.45	0.44	0.43	0.44	0.43	0.42	0.43	0.44	0.44	0.44	0.43	0.44	0.44	0.42	0.44	0.44	0.45	0.46	0.44	0.44	0.44	0.43	0.41	0.43	0.42	0.42	0.44	0.44	0.41	0.42	0.41	0.4	0.41	0.39	0.41	0.42	0.42	0.39	0.42	0.42	0.43	0.43	0.43	0.42	0.43	0.42	0.43	0.43	0.42	0.42	0.4	0.43	0.43	0.42	0.43	0.43	0.42	0.43	0.42	0.41	0.39	0.39	0.39	0.42	0.42	0.43	0.42	0.42	0.42	0.42	0.42	0.41	0.42
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.04	0.08	0.1	0.1	0.1	0.11	0.14	0.12	0.16	0.13	0.13	0.16	0.17	0.17	0.19	0.17	0.18	0.16	0.19	0.21	0.22	0.24	0.21	0.2	0.21	0.19	0.25	0.23	0.28	0.21	0.22	0.21	0.27	0.28	0.27	0.25	0.23	0.26	0.28	0.25	0.24	0.25	0.2	0.21	0.22	0.23	0.22	0.23	0.27	0.3	0.26	0.19	0.22	0.23	0.21	0.22	0.19	0.19	0.17	0.19	0.24	0.22	0.18	0.22	0.23	0.23	0.25	0.24	0.28	0.24	0.25	0.26	0.21	0.23	0.26	0.27	0.26	0.28	0.26	0.29	0.24	0.23
27	0	0	0	0.17	0.28	0.29	0.33	0.34	0.35	0.39	0.33	0.32	0.28	0.29	0.24	0.24	0.21	0.18	0.17	0.15	0.14	0.14	0.14	0.14	0.12	0.11	0.09	0.15	0.14	0.09	0.09	0.08	0.08	0.13	0.18	0.14	0.13	0.11	0.11	0.13	0.08	0.07	0.1	0.14	0.12	0.12	0.14	0.1	0.1	0.14	0.11	0.12	0.08	0.09	0.16	0.14	0.15	0.12	0.13	0.18	0.14	0.16	0.15	0.14	0.14	0.15	0.16	0.14	0.16	0.15	0.13	0.1	0.12	0.16	0.13	0.17	0.18	0.19	0.2	0.15	0.14	0.12	0.12	0.08	0.12	0.1	0.09	0.13	0.13	0.12	0.14	0.13	0.1	0.14	0.17	0.15	0.14	0.17	0.09	0.17	0.12
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0.01	0.01	0.02	0.04	0.01	0.01	0.02	0.02	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0
29	1	1	0.97	0.91	0.85	0.77	0.7	0.61	0.56	0.51	0.47	0.38	0.37	0.32	0.24	0.12	0.14	0.14	0.15	0.12	0.11	0.12	0.08	0.07	0.11	0.11	0.12	0.1	0.11	0.09	0.1	0.09	0.08	0.06	0.06	0.06	0.05	0.06	0.08	0.06	0.06	0.05	0.04	0.05	0.06	0.04	0.03	0.07	0.05	0.06	0.06	0.06	0.07	0.06	0.08	0.07	0.05	0.09	0.06	0.05	0.07	0.06	0.07	0.06	0.08	0.1	0.07	0.09	0.12	0.11	0.11	0.13	0.14	0.11	0.08	0.1	0.11	0.08	0.08	0.11	0.1	0.09	0.09	0.09	0.1	0.09	0.08	0.1	0.06	0.05	0.09	0.08	0.09	0.09	0.09	0.1	0.09	0.1	0.08	0.06	0.05
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0.01	0.01	0	0.01	0.01	0.01	0	0.01	0.01	0.01	0	0	0	0.02	0.01	0.01	0.02	0	0	0.01	0.01	0.03	0.02	0.03	0.02	0	0	0.02	0.02	0	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.02	0.02	0.02	0.02
31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0.01	0.01	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.02	0.02	0	0	0	0	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0	0	0.01	0.01	0.02	0.01	0	0.02	0.02	0.02	0.03	0.03	0.02	0.01	0.03	0.03	0.02	0.02	0.02	0.02	0.05	0.02	0.01	0	0	0.01	0.01	0.01	0.02	0.02
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.03	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0	0	0	0.01	0.01	0.01	0.02	0.02	0.03	0.02	0.02	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.02	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0.03	0.03	0.01	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0.01	0	0
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0.02	0.01	0.01
36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.02	0.01	0.01	0.01	0	0	0	0	0.01	0.01	0	0	0
37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0
39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0
