Year	Mean_OccupSuit	Std_error
0	0.0512821	6.61502e-07
1	0.0512821	6.61502e-07
2	0.0512821	6.61502e-07
3	0.0553846	0.00113623
4	0.0602564	0.00176201
5	0.0638462	0.00204528
6	0.0679487	0.00225765
7	0.07	0.00241347
8	0.0715385	0.00303378
9	0.0728205	0.00310785
10	0.0746154	0.00315819
11	0.0764103	0.00331986
12	0.0784615	0.0033958
13	0.0769231	0.00409089
14	0.0730769	0.00431795
15	0.065641	0.00423949
16	0.0658974	0.00422278
17	0.0674359	0.00466227
18	0.0671795	0.00440029
19	0.0710256	0.00472172
20	0.0748718	0.00518846
21	0.0741026	0.00541659
22	0.0758974	0.00553814
23	0.0741026	0.00588662
24	0.0766667	0.00592709
25	0.0846154	0.00622232
26	0.0838462	0.00649752
27	0.085641	0.00639828
28	0.0897436	0.00670521
29	0.0951282	0.00755111
30	0.0946154	0.00724042
31	0.100256	0.00747864
32	0.104103	0.00816407
33	0.107692	0.00767069
34	0.113846	0.00810283
35	0.113846	0.00796228
36	0.117692	0.00860196
37	0.125385	0.00920465
38	0.126923	0.00919368
39	0.131026	0.00925502
40	0.134359	0.0094624
41	0.131026	0.00933362
42	0.137692	0.00952212
43	0.136667	0.00986736
44	0.137436	0.00965967
45	0.145385	0.0104301
46	0.153846	0.0109698
47	0.153077	0.0106718
48	0.15359	0.0108265
49	0.155128	0.0106526
50	0.158974	0.0108969
51	0.158462	0.0111522
52	0.169231	0.0119714
53	0.162821	0.0113645
54	0.166154	0.0113709
55	0.162308	0.0111859
56	0.165897	0.011716
57	0.169487	0.0116332
58	0.175641	0.0117155
59	0.173846	0.0118855
60	0.171538	0.0118582
61	0.168974	0.0117196
62	0.168974	0.011793
63	0.17	0.0119528
64	0.173846	0.0121289
65	0.181795	0.0125037
66	0.178718	0.0124684
67	0.185385	0.0123957
68	0.182821	0.0121512
69	0.184872	0.0125154
70	0.187436	0.0125281
71	0.189487	0.0127655
72	0.18641	0.0126293
73	0.181795	0.0124665
74	0.185641	0.0128548
75	0.185128	0.0126908
76	0.187436	0.013083
77	0.19	0.0128856
78	0.191026	0.0128509
79	0.198974	0.0134456
80	0.202308	0.0139392
81	0.204872	0.013482
82	0.204872	0.0137067
83	0.20359	0.0139722
84	0.207179	0.0138234
85	0.211795	0.0137798
86	0.20641	0.0131371
87	0.207436	0.0135096
88	0.207436	0.0136902
89	0.207692	0.0136631
90	0.207692	0.0135263
91	0.209744	0.0138172
92	0.210769	0.0138037
93	0.210513	0.013481
94	0.210256	0.0137189
95	0.212308	0.0137868
96	0.214872	0.0143241
97	0.215385	0.0142134
98	0.218974	0.0143918
99	0.219231	0.0143685
100	0.220513	0.0143714
