Year	Mean_OccupSuit	Std_error
0	0.00943396	0
1	0.00943396	0
2	0.00943396	0
3	0.00943396	0
4	0.00943396	0
5	0.00943396	0
6	0.00943396	0
7	0.00943396	0
8	0.00943396	0
9	0.00943396	0
10	0.00943396	0
11	0.00943396	0
12	0.00943396	0
13	0.0103774	0.000943396
14	0.00943396	0
15	0.0103774	0.000943396
16	0.0132075	0.00154056
17	0.0150943	0.00208593
18	0.0226415	0.00251572
19	0.0254717	0.00283019
20	0.0226415	0.00251572
21	0.0283019	0.00243584
22	0.0330189	0.0021095
23	0.0358491	0.00125786
24	0.0367925	0.000943395
25	0.0367925	0.000943395
26	0.0377358	0
27	0.0377358	0
28	0.0377358	0
29	0.0377358	0
30	0.0377358	0
31	0.0377358	0
32	0.0377358	0
33	0.0386792	0.000943394
34	0.0386792	0.000943394
35	0.0386792	0.000943394
36	0.0386792	0.000943394
37	0.040566	0.00144106
38	0.040566	0.00144106
39	0.040566	0.00201356
40	0.0415094	0.00208593
41	0.0433962	0.00251572
42	0.0462264	0.00328312
43	0.0471698	0.004219
44	0.0471698	0.00281266
45	0.05	0.00345912
46	0.0528302	0.00320693
47	0.054717	0.00503145
48	0.0566038	0.0034448
49	0.059434	0.00316034
50	0.0603774	0.00350174
51	0.0650943	0.00169345
52	0.0679245	0.00274145
53	0.0669811	0.00296666
54	0.0688679	0.00245605
55	0.0716981	0.00251572
56	0.0726415	0.00201356
57	0.0707547	0.00351583
58	0.0745283	0.00261214
59	0.0764151	0.00220126
60	0.0764151	0.00296666
61	0.0764151	0.00328311
62	0.0792453	0.00251572
63	0.0783019	0.00283019
64	0.0792453	0.00288212
65	0.0811321	0.00402712
66	0.0773585	0.00308112
67	0.0801887	0.0025353
68	0.0839623	0.00432318
69	0.0858491	0.00454617
70	0.0849057	0.0037208
71	0.0886792	0.00510946
72	0.0886792	0.00566038
73	0.0924528	0.00392767
74	0.100943	0.00467487
75	0.0990566	0.00530879
76	0.101887	0.00483091
77	0.109434	0.00632068
78	0.109434	0.00510946
79	0.108491	0.00471698
80	0.116981	0.00746814
81	0.119811	0.00629716
82	0.116981	0.0066262
83	0.121698	0.00801116
84	0.127358	0.00734127
85	0.126415	0.00583246
86	0.130189	0.00686083
87	0.133962	0.00829617
88	0.136792	0.00678109
89	0.140566	0.0058747
90	0.143396	0.00641386
91	0.145283	0.00705973
92	0.14717	0.00705973
93	0.15283	0.00805424
94	0.15566	0.00823035
95	0.161321	0.00736816
96	0.161321	0.00620223
97	0.163208	0.00597484
98	0.166038	0.00719844
99	0.170755	0.00454617
100	0.167925	0.00541027
