Year	Mean_OccupSuit	Std_error
0	0.00943396	0
1	0.00943396	0
2	0.00943396	0
3	0.00943396	0
4	0.00943396	0
5	0.00943396	0
6	0.00943396	0
7	0.00943396	0
8	0.00943396	0
9	0.00943396	0
10	0.00943396	0
11	0.00943396	0
12	0.0103774	0.000943396
13	0.0103774	0.000943396
14	0.00943396	0
15	0.0113208	0.00125786
16	0.0113208	0.00125786
17	0.0132075	0.00154056
18	0.0122642	0.00144106
19	0.0169811	0.00235324
20	0.0245283	0.00208593
21	0.0254717	0.00144106
22	0.0254717	0.00201356
23	0.0330189	0.00157233
24	0.0339623	0.00154056
25	0.0367925	0.000943395
26	0.0377358	0
27	0.0367925	0.000943395
28	0.0377358	0
29	0.0377358	0
30	0.0377358	0
31	0.0377358	0
32	0.0377358	0
33	0.0377358	0
34	0.0377358	0
35	0.0377358	0
36	0.0377358	0
37	0.0377358	0
38	0.0377358	0
39	0.0377358	0
40	0.0377358	0
41	0.0386792	0.000943394
42	0.0396226	0.00125786
43	0.0433962	0.00208593
44	0.0424528	0.00157233
45	0.0443396	0.00283019
46	0.0481132	0.00261215
47	0.0518868	0.0025353
48	0.0490566	0.00235324
49	0.054717	0.00235324
50	0.0575472	0.00328312
51	0.0566038	0.00314465
52	0.0632075	0.00316034
53	0.0613208	0.00378667
54	0.059434	0.00245605
55	0.0641509	0.00274145
56	0.0632075	0.0042307
57	0.0632075	0.00245605
58	0.0688679	0.00283019
59	0.0688679	0.00283019
60	0.0669811	0.00220126
61	0.0707547	0.00289923
62	0.0726415	0.00245605
63	0.0726415	0.00283019
64	0.0735849	0.00235324
65	0.0754717	0.00243584
66	0.0745283	0.00261214
67	0.0754717	0.00198885
68	0.0783019	0.00245605
69	0.0801887	0.0025353
70	0.0801887	0.0025353
71	0.0811321	0.00288212
72	0.0839623	0.00261214
73	0.0867925	0.00503145
74	0.0849057	0.0037208
75	0.090566	0.00529946
76	0.0886792	0.00566038
77	0.0886792	0.00350174
78	0.0943396	0.00526201
79	0.0971698	0.00563411
80	0.0981132	0.00677379
81	0.10566	0.00641386
82	0.106604	0.00660377
83	0.103774	0.00613006
84	0.107547	0.00566038
85	0.113208	0.00659628
86	0.119811	0.00796163
87	0.122642	0.00562533
88	0.128302	0.00548289
89	0.127358	0.00869768
90	0.130189	0.00656623
91	0.132075	0.00487168
92	0.137736	0.00583247
93	0.139623	0.00609771
94	0.141509	0.00579846
95	0.146226	0.0054919
96	0.14717	0.00510946
97	0.15	0.00496218
98	0.15283	0.00576425
99	0.158491	0.00741498
100	0.15566	0.00511913
