Rep	Year	RepSeason	NInds	NInd_stage1	NInd_stage2	NInd_stage3	NInd_stage4	NJuvs	NOccupPatches	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	40	0	0	20	20	227	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	1	0	235	227	0	2	6	58	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	2	0	156	58	95	1	2	24	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	3	0	115	24	28	63	0	260	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	4	0	308	260	9	29	10	171	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	5	0	301	171	114	7	9	86	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	6	0	240	86	74	76	4	359	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	7	0	477	359	41	66	11	366	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	8	0	576	366	149	46	15	283	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	9	0	555	283	156	108	8	500	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	10	0	770	500	111	136	23	748	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	11	0	1101	748	213	108	32	664	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	12	0	1203	664	355	156	28	839	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	13	0	1444	839	305	267	33	1335	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	14	0	1982	1335	336	241	70	1338	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	15	0	2225	1338	554	273	60	1503	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	16	0	2550	1503	563	432	52	2044	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	17	0	3245	2044	640	472	89	2406	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	18	0	3946	2406	887	557	96	2838	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	19	0	4643	2838	979	699	127	3405	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	20	0	5535	3405	1197	792	141	3964	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	21	0	6571	3964	1462	986	159	4716	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	22	0	7786	4716	1689	1179	202	5543	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	23	0	9178	5543	1981	1432	222	6464	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	24	0	10736	6464	2358	1653	261	7426	2	0.0188679	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	25	0	12402	7426	2706	1938	332	8576	3	0.0283019	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
0	26	0	14387	8576	3122	2276	413	10043	3	0.0283019	3.6661e+06	4.1261e+06	2.2363e+06	2.7843e+06
