Rep	Year	RepSeason	NInds	NInd_stage1	NInd_stage2	NInd_stage3	NInd_stage4	NJuvs	NOccupPatches	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	40	0	0	20	20	217	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	1	0	234	217	0	5	12	89	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	2	0	196	89	101	2	4	35	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	3	0	154	35	45	73	1	306	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	4	0	376	306	15	43	12	217	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	5	0	368	217	122	18	11	139	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	6	0	334	139	93	92	10	407	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	7	0	559	407	56	80	16	415	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	8	0	651	415	167	51	18	326	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	9	0	645	326	189	119	11	525	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	10	0	826	525	140	141	20	689	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	11	0	1083	689	230	131	33	651	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	12	0	1156	651	302	179	24	744	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	13	0	1293	744	271	234	44	1042	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	14	0	1606	1042	284	230	50	1010	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	15	0	1724	1010	422	246	46	1062	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	16	0	1906	1062	447	342	55	1422	2	0.0188679	3.6661e+06	3.7861e+06	2.7443e+06	2.7843e+06
0	17	0	2345	1422	461	388	74	1607	2	0.0188679	3.6661e+06	3.7861e+06	2.7443e+06	2.7843e+06
0	18	0	2700	1607	598	406	89	1626	2	0.0188679	3.6661e+06	3.7861e+06	2.7443e+06	2.7843e+06
0	19	0	2885	1626	693	484	82	1764	2	0.0188679	3.6661e+06	3.7541e+06	2.7003e+06	2.7843e+06
0	20	0	3137	1764	700	587	86	2164	3	0.0283019	3.6661e+06	3.7861e+06	2.7003e+06	2.7843e+06
0	21	0	3567	2164	700	588	115	2076	3	0.0283019	3.6661e+06	3.7861e+06	2.7003e+06	2.7843e+06
0	22	0	3693	2076	872	622	123	2163	3	0.0283019	3.6661e+06	3.7861e+06	2.7003e+06	2.7843e+06
0	23	0	3933	2163	875	743	152	2537	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	24	0	4315	2537	868	756	154	2537	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	25	0	4454	2537	1009	749	159	2641	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	26	0	4731	2641	1035	870	185	3092	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	27	0	5217	3092	1092	865	168	3058	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	28	0	5450	3058	1275	916	201	3254	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	29	0	5787	3254	1248	1078	207	3838	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	30	0	6490	3838	1312	1109	231	3873	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	31	0	6834	3873	1537	1179	245	4236	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	32	0	7372	4236	1586	1302	248	4713	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	33	0	8035	4713	1707	1372	243	4651	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	34	0	8329	4651	1928	1476	274	5014	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	35	0	8813	5014	1898	1577	324	5295	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	36	0	9314	5295	2046	1628	345	5467	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	37	0	9643	5467	2125	1713	338	5494	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	38	0	9802	5494	2184	1763	361	5787	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	39	0	10174	5787	2176	1876	335	5773	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	40	0	10277	5773	2222	1897	385	6125	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	41	0	10617	6125	2176	1901	415	6049	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	42	0	10740	6049	2351	1916	424	6015	5	0.0471698	3.6661e+06	3.7901e+06	2.7003e+06	2.8363e+06
0	43	0	10834	6015	2406	1997	416	6318	5	0.0471698	3.6661e+06	3.8221e+06	2.7003e+06	2.8043e+06
0	44	0	11007	6318	2241	2010	438	6355	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	45	0	11120	6355	2354	1968	443	6104	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	46	0	10955	6104	2393	2031	427	6273	6	0.0566038	3.6661e+06	3.8221e+06	2.7003e+06	2.8363e+06
0	47	0	11075	6273	2280	2092	430	6480	6	0.0566038	3.6661e+06	3.8221e+06	2.7003e+06	2.8363e+06
0	48	0	11259	6480	2340	2017	422	6220	6	0.0566038	3.6661e+06	3.8221e+06	2.7003e+06	2.8363e+06
0	49	0	11077	6220	2421	1993	443	6314	7	0.0660377	3.6661e+06	3.8221e+06	2.7003e+06	2.8523e+06
0	50	0	11055	6314	2267	2059	415	6461	7	0.0660377	3.6661e+06	3.8221e+06	2.7003e+06	2.8523e+06
0	51	0	11235	6461	2371	1957	446	6169	6	0.0566038	3.6661e+06	3.8221e+06	2.7003e+06	2.8363e+06
0	52	0	11030	6169	2443	1998	420	6227	7	0.0660377	3.6661e+06	3.8221e+06	2.7003e+06	2.8523e+06
0	53	0	11049	6227	2358	2029	435	6379	7	0.0660377	3.6661e+06	3.8221e+06	2.7003e+06	2.8523e+06
0	54	0	11186	6379	2355	2031	421	6346	6	0.0566038	3.6661e+06	3.8221e+06	2.7003e+06	2.8363e+06
0	55	0	11182	6346	2404	2015	417	6137	7	0.0660377	3.6661e+06	3.8221e+06	2.7003e+06	2.8523e+06
0	56	0	11038	6137	2391	2078	432	6578	7	0.0660377	3.6661e+06	3.8221e+06	2.7003e+06	2.8523e+06
0	57	0	11346	6578	2287	2036	445	6562	7	0.0660377	3.6661e+06	3.8221e+06	2.7003e+06	2.8523e+06
0	58	0	11465	6562	2443	1998	462	6327	7	0.0660377	3.6661e+06	3.8221e+06	2.7003e+06	2.8523e+06
0	59	0	11366	6327	2463	2113	463	6722	7	0.0660377	3.6661e+06	3.8221e+06	2.7003e+06	2.8523e+06
0	60	0	11594	6722	2309	2103	460	6536	7	0.0660377	3.6661e+06	3.8221e+06	2.7003e+06	2.8523e+06
0	61	0	11517	6536	2478	2032	471	6467	7	0.0660377	3.6661e+06	3.8221e+06	2.7003e+06	2.8523e+06
0	62	0	11415	6467	2404	2098	446	6696	7	0.0660377	3.6661e+06	3.8221e+06	2.7003e+06	2.8523e+06
