Year	Mean_OccupSuit	Std_error
0	0.00943396	0
1	0.00943396	0
2	0.00943396	0
3	0.00943396	0
4	0.00943396	0
5	0.00943396	0
6	0.00943396	0
7	0.00943396	0
8	0.00943396	0
9	0.0103774	0.000943396
10	0.0103774	0.000943396
11	0.00943396	0
12	0.00943396	0
13	0.00943396	0
14	0.00943396	0
15	0.0103774	0.000943396
16	0.0113208	0.00125786
17	0.0103774	0.000943396
18	0.0132075	0.00208593
19	0.0169811	0.00188679
20	0.0179245	0.00169345
21	0.0264151	0.00274145
22	0.0254717	0.00245605
23	0.0273585	0.00220126
24	0.0330189	0.00157233
25	0.0339623	0.00154056
26	0.0367925	0.000943395
27	0.0367925	0.000943395
28	0.0377358	0
29	0.0377358	0
30	0.0377358	0
31	0.0377358	0
32	0.0377358	0
33	0.0377358	0
34	0.0377358	0
35	0.0377358	0
36	0.0377358	0
37	0.0377358	0
38	0.0377358	0
39	0.0377358	0
40	0.0377358	0
41	0.0377358	0
42	0.0396226	0.00125786
43	0.0386792	0.000943394
44	0.0396226	0.00125786
45	0.0424528	0.0021095
46	0.0433962	0.00208593
47	0.045283	0.00274145
48	0.0443396	0.00245605
49	0.045283	0.00235324
50	0.05	0.00345912
51	0.0481132	0.00296666
52	0.0509434	0.00320693
53	0.0528302	0.00350174
54	0.0537736	0.00373407
55	0.0537736	0.00283019
56	0.0575472	0.00328311
57	0.054717	0.00366727
58	0.0566038	0.0037208
59	0.0603774	0.00350174
60	0.0613208	0.00322231
61	0.0641509	0.00392767
62	0.0632075	0.00316034
63	0.0650943	0.00328312
64	0.0650943	0.00383854
65	0.0650943	0.00432318
66	0.0650943	0.00328312
67	0.0660377	0.0034448
68	0.0660377	0.00444721
69	0.0679245	0.00366726
70	0.0688679	0.00345912
71	0.0679245	0.00366726
72	0.0698113	0.00320693
73	0.0698113	0.00350174
74	0.0707547	0.00471698
75	0.0716981	0.00288212
76	0.0716981	0.00320693
77	0.0735849	0.00462168
78	0.0783019	0.00467486
79	0.0792453	0.00599962
80	0.0773585	0.00541027
81	0.0811321	0.0066262
82	0.0858491	0.0058747
83	0.0830189	0.00559006
84	0.0858491	0.00604068
85	0.0896226	0.00584094
86	0.0915094	0.00645229
87	0.0933962	0.0066634
88	0.0971698	0.00783644
89	0.0971698	0.00660377
90	0.0981132	0.00677379
91	0.100943	0.00808488
92	0.10283	0.00894432
93	0.101887	0.00754717
94	0.101887	0.00767708
95	0.108491	0.00914116
96	0.107547	0.00913575
97	0.109434	0.00934973
98	0.110377	0.00867491
99	0.116981	0.0100629
100	0.119811	0.0106222
