Year	Mean_OccupSuit	Std_error
0	0.00943396	0
1	0.00943396	0
2	0.00943396	0
3	0.00943396	0
4	0.00943396	0
5	0.00943396	0
6	0.00943396	0
7	0.00943396	0
8	0.00943396	0
9	0.00943396	0
10	0.00943396	0
11	0.00943396	0
12	0.00943396	0
13	0.00943396	0
14	0.00943396	0
15	0.00943396	0
16	0.00943396	0
17	0.00990566	0.000471698
18	0.00990566	0.000471698
19	0.00943396	0
20	0.00990566	0.000471698
21	0.00990566	0.000471698
22	0.00943396	0
23	0.0103774	0.00064929
24	0.00990566	0.000471698
25	0.0103774	0.00064929
26	0.0127358	0.00141509
27	0.0146226	0.00187121
28	0.0212264	0.00215073
29	0.0320755	0.0029358
30	0.045283	0.00303002
31	0.0584906	0.00318086
32	0.0731132	0.00245579
33	0.0801887	0.00128041
34	0.0811321	0.00126199
35	0.0849057	0.000967901
36	0.0863208	0.0010323
37	0.0853774	0.000471694
38	0.0877359	0.000991803
39	0.0872642	0.000937166
40	0.0872642	0.000937166
41	0.0896226	0.00108215
42	0.0891509	0.00107672
43	0.0896226	0.00108215
44	0.0915094	0.000991801
45	0.0886792	0.00106028
46	0.0919811	0.000937163
47	0.0929245	0.000772801
48	0.0938679	0.000471683
49	0.0948113	0.000471684
50	0.0962264	0.000865714
51	0.0966981	0.000937165
52	0.0966981	0.000937165
53	0.101415	0.00151114
54	0.108962	0.00260392
55	0.120283	0.00272693
56	0.132075	0.00342206
57	0.140094	0.00249364
58	0.146698	0.00174155
59	0.153302	0.00192062
60	0.153302	0.00116047
61	0.155189	0.00107672
62	0.159434	0.0017978
63	0.159906	0.0022151
64	0.164623	0.00241734
65	0.164151	0.00198362
66	0.166038	0.00268583
67	0.16934	0.00309691
68	0.175	0.00317164
69	0.176887	0.00289361
70	0.181604	0.00348143
71	0.187736	0.00297542
72	0.191509	0.00299113
73	0.198113	0.0021643
74	0.209906	0.00305121
75	0.212264	0.00286311
76	0.216509	0.00277799
77	0.222642	0.00241007
78	0.225	0.00249366
79	0.229245	0.00328946
80	0.234434	0.00184602
81	0.234906	0.00225961
82	0.237736	0.00222829
83	0.240566	0.00221775
84	0.24717	0.00318086
85	0.257075	0.00327339
86	0.263679	0.00365214
87	0.26934	0.00338593
88	0.276415	0.00314381
89	0.28066	0.00305119
90	0.282075	0.00255166
91	0.287736	0.00221773
92	0.290566	0.00200707
93	0.293868	0.00208435
94	0.3	0.00287126
95	0.304245	0.00254936
96	0.308962	0.00245579
97	0.310377	0.00225958
98	0.314151	0.00299112
99	0.318396	0.00245579
100	0.323113	0.00289361
