Year	Mean_OccupSuit	Std_error
0	0.0188679	0
1	0.0188679	0
2	0.0165094	0.000937169
3	0.0188679	0
4	0.0188679	0
5	0.0188679	0
6	0.0188679	0
7	0.0188679	0
8	0.0188679	0
9	0.0188679	0
10	0.0188679	0
11	0.0188679	0
12	0.0188679	0
13	0.0188679	0
14	0.0188679	0
15	0.0193396	0.000471698
16	0.0198113	0.00064929
17	0.0198113	0.00064929
18	0.0193396	0.000471698
19	0.0207547	0.00086572
20	0.0212264	0.000937169
21	0.0231132	0.00127584
22	0.0235849	0.00108215
23	0.0292453	0.00116551
24	0.0334906	0.00199245
25	0.0363208	0.00123858
26	0.0400943	0.0016589
27	0.045283	0.00129858
28	0.0504717	0.00157191
29	0.0523585	0.00160144
30	0.0584906	0.00242942
31	0.059434	0.00291177
32	0.070283	0.00407642
33	0.0858491	0.00426867
34	0.0933962	0.00415748
35	0.103774	0.00313637
36	0.113208	0.00246768
37	0.121226	0.000772821
38	0.123585	0.000943404
39	0.122642	0.00118544
40	0.124528	0.000865727
41	0.125472	0.000991812
42	0.126415	0.00106029
43	0.128302	0.00143564
44	0.128302	0.00126199
45	0.128302	0.00126199
46	0.129717	0.00116048
47	0.131604	0.00144782
48	0.133491	0.00171445
49	0.135849	0.0018618
50	0.138208	0.00184601
51	0.140094	0.00249364
52	0.143868	0.002257
53	0.148113	0.00247715
54	0.148585	0.00203892
55	0.154717	0.00198361
56	0.167925	0.0037236
57	0.172642	0.00411217
58	0.184434	0.00371573
59	0.194811	0.00337207
60	0.206132	0.00323018
61	0.210849	0.00292582
62	0.219811	0.00256997
63	0.221698	0.00221776
64	0.222642	0.00198363
65	0.224528	0.00212059
66	0.229717	0.00276108
67	0.231604	0.00231844
68	0.23066	0.00277799
69	0.235377	0.00286106
70	0.236792	0.00289564
71	0.242925	0.00334418
72	0.242925	0.00348143
73	0.249528	0.00395984
74	0.259434	0.00456559
75	0.262264	0.00414054
76	0.268868	0.0046166
77	0.280189	0.00498728
78	0.287736	0.00430146
79	0.290566	0.00462167
80	0.30283	0.00426866
81	0.311321	0.004219
82	0.310849	0.00401855
83	0.315094	0.00466204
84	0.323585	0.00512624
85	0.325472	0.00365376
86	0.336321	0.0038275
87	0.343868	0.00471574
88	0.353302	0.00481405
89	0.365094	0.0049401
90	0.370283	0.00645219
91	0.380189	0.00543666
92	0.389623	0.00464695
93	0.393868	0.00483346
94	0.401415	0.00540967
95	0.409434	0.00476146
96	0.413208	0.00477129
97	0.416981	0.00550091
98	0.425943	0.00585863
99	0.430189	0.00523028
100	0.436321	0.0057619
