Year	Mean_OccupSuit	Std_error
0	0.00943396	0
1	0.00943396	0
2	0.00943396	0
3	0.00943396	0
4	0.00943396	0
5	0.00943396	0
6	0.00943396	0
7	0.00943396	0
8	0.00943396	0
9	0.00943396	0
10	0.00943396	0
11	0.00943396	0
12	0.00943396	0
13	0.00943396	0
14	0.00943396	0
15	0.00943396	0
16	0.00943396	0
17	0.0117925	0.00235849
18	0.0117925	0.00235849
19	0.00943396	0
20	0.00943396	0
21	0.00943396	0
22	0.00943396	0
23	0.00943396	0
24	0.00943396	0
25	0.00943396	0
26	0.0117925	0.00235849
27	0.0141509	0.00471698
28	0.0141509	0.00272335
29	0.0117925	0.00235849
30	0.0117925	0.00235849
31	0.0141509	0.00272335
32	0.0188679	0.00667082
33	0.0165094	0.00451617
34	0.0212264	0.00235849
35	0.0259434	0.00707547
36	0.0259434	0.00451617
37	0.0306604	0.00451617
38	0.0400943	0.00451616
39	0.0471698	0.0077028
40	0.0542453	0.00451617
41	0.0636792	0.0059354
42	0.0660377	0
43	0.0683962	0.00235849
44	0.0707547	0.00272335
45	0.0754717	0.0038514
46	0.0801887	0.00272334
47	0.0754717	0.0038514
48	0.0825472	0.00451616
49	0.0801887	0.00272334
50	0.0801887	0.00272334
51	0.0825472	0.00235848
52	0.0849057	0
53	0.0872642	0.00235848
54	0.0896226	0.00272334
55	0.0849057	0.00385139
56	0.0872642	0.00451616
57	0.0872642	0.00451616
58	0.0896226	0.00272334
59	0.0872642	0.00451616
60	0.0919811	0.00235847
61	0.0943396	0
62	0.0943396	0
63	0.0943396	0
64	0.0919811	0.00235847
65	0.0943396	0
66	0.0919811	0.00235847
67	0.0943396	0
68	0.0943396	0
69	0.0943396	0
70	0.0943396	0
71	0.0943396	0
72	0.0943396	0
73	0.0943396	0
74	0.0943396	0
75	0.0943396	0
76	0.0943396	0
77	0.0990566	0.00471698
78	0.0966981	0.00235848
79	0.0943396	0
80	0.0943396	0
81	0.0966981	0.00235848
82	0.0966981	0.00235848
83	0.0966981	0.00235848
84	0.0966981	0.00235848
85	0.101415	0.0023585
86	0.101415	0.0023585
87	0.0990566	0.00272335
88	0.103774	0.0038514
89	0.103774	0.0054467
90	0.106132	0.00593541
91	0.117925	0.0060896
92	0.117925	0.00272337
93	0.115566	0.00805578
94	0.122642	0.00861199
95	0.127358	0.00981918
96	0.127358	0.00903233
97	0.132075	0.0101898
98	0.136792	0.01248
99	0.143868	0.0135485
100	0.146226	0.00817005
