Rep	Year	RepSeason	NInds	NInd_stage1	NInd_stage2	NInd_stage3	NInd_stage4	NJuvs	NOccupPatches	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	200	0	0	100	100	1008	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	1	0	1084	1008	0	34	42	424	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	2	0	849	424	400	6	19	129	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	3	0	533	129	187	209	8	1015	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	4	0	1255	1015	68	134	38	818	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	5	0	1343	818	425	64	36	472	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	6	0	1081	472	359	231	19	1097	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	7	0	1584	1097	205	238	44	1258	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	8	0	1903	1258	433	161	51	1015	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	9	0	1816	1015	521	234	46	1227	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	10	0	2035	1227	427	333	48	1753	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	11	0	2634	1753	542	269	70	1505	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	12	0	2668	1505	769	332	62	1751	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	13	0	2925	1751	654	437	83	2296	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	14	0	3552	2296	745	407	104	2282	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	15	0	3825	2282	1001	468	74	2314	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	16	0	3975	2314	964	606	91	2876	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	17	0	4584	2876	995	604	109	3123	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	18	0	5063	3123	1193	629	118	3176	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	19	0	5426	3176	1354	780	116	3782	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	20	0	6163	3782	1376	856	149	4192	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	21	0	6898	4192	1610	905	191	4605	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	22	0	7657	4605	1787	1080	185	5092	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	23	0	8434	5092	1926	1194	222	5776	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
0	24	0	9460	5776	2222	1224	238	5935	1	0.00943396	3.8581e+06	4.1261e+06	2.2363e+06	2.4483e+06
