Rep	Year	RepSeason	NInds	NInd_stage1	NInd_stage2	NInd_stage3	NInd_stage4	NJuvs	NOccupPatches	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	40	0	0	20	20	232	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	1	0	246	232	0	8	6	69	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	2	0	171	69	99	1	2	21	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	3	0	126	21	36	68	1	293	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	4	0	363	293	15	45	10	257	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	5	0	404	257	118	18	11	141	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	6	0	345	141	105	91	8	447	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	7	0	625	447	64	95	19	485	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	8	0	733	485	165	63	20	334	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	9	0	670	334	190	133	13	581	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	10	0	906	581	131	172	22	824	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	11	0	1201	824	213	137	27	612	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	12	0	1180	612	349	192	27	863	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	13	0	1463	863	267	299	34	1257	2	0.0188679	3.6661e+06	3.7541e+06	2.7003e+06	2.7843e+06
0	14	0	1947	1257	370	258	62	1200	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	15	0	2101	1200	541	315	45	1247	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	16	0	2204	1247	461	439	57	1710	2	0.0188679	3.6661e+06	3.7541e+06	2.7003e+06	2.7843e+06
0	17	0	2737	1710	513	430	84	1669	2	0.0188679	3.6661e+06	3.7541e+06	2.7003e+06	2.7843e+06
0	18	0	2941	1669	716	446	110	1787	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	19	0	3219	1787	715	619	98	2236	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	20	0	3742	2236	721	675	110	2318	3	0.0283019	3.6661e+06	3.7861e+06	2.7003e+06	2.7843e+06
0	21	0	4057	2318	928	663	148	2284	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	22	0	4185	2284	946	796	159	2697	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	23	0	4673	2697	948	858	170	2816	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	24	0	4898	2816	1054	862	166	2824	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	25	0	5008	2824	1067	958	159	3313	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	26	0	5609	3313	1107	1010	179	3499	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	27	0	5994	3499	1308	993	194	3626	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
0	28	0	6421	3626	1458	1134	203	4101	4	0.0377358	3.6661e+06	3.7861e+06	2.7003e+06	2.8043e+06
