Year	Mean_OccupSuit	Std_error
0	0.00943396	0
1	0.00943396	0
2	0.00943396	0
3	0.00943396	0
4	0.00943396	0
5	0.00943396	0
6	0.00943396	0
7	0.00943396	0
8	0.00943396	0
9	0.00943396	0
10	0.00943396	0
11	0.00943396	0
12	0.0103774	0.000943396
13	0.00943396	0
14	0.0103774	0.000943396
15	0.0103774	0.000943396
16	0.0113208	0.00125786
17	0.0113208	0.00125786
18	0.0132075	0.00154056
19	0.0160377	0.00144106
20	0.0160377	0.00283019
21	0.0207547	0.00274145
22	0.0264151	0.00235324
23	0.0235849	0.00157233
24	0.0330189	0.00157233
25	0.0349057	0.00144106
26	0.0339623	0.00154056
27	0.0349057	0.00144106
28	0.0339623	0.00154056
29	0.0349057	0.00144106
30	0.0377358	0
31	0.0377358	0
32	0.0367925	0.000943395
33	0.0377358	0
34	0.0377358	0
35	0.0377358	0
36	0.0377358	0
37	0.0377358	0
38	0.0386792	0.000943394
39	0.0386792	0.000943394
40	0.0377358	0
41	0.0386792	0.000943394
42	0.0386792	0.000943394
43	0.0377358	0
44	0.0396226	0.00125786
45	0.0396226	0.00188679
46	0.0415094	0.00154056
47	0.040566	0.00144106
48	0.0443396	0.00316034
49	0.0424528	0.0021095
50	0.045283	0.00235324
51	0.0462264	0.00296666
52	0.05	0.00399012
53	0.0509434	0.00377358
54	0.0566038	0.00314465
55	0.0509434	0.00377358
56	0.0537736	0.00283019
57	0.0556604	0.00261215
58	0.054717	0.00274145
59	0.059434	0.00245605
60	0.0603774	0.00208593
61	0.059434	0.00283019
62	0.0613208	0.0025353
63	0.0632075	0.00283019
64	0.0622642	0.00288212
65	0.0641509	0.00274145
66	0.0650943	0.00296666
67	0.0632075	0.00283019
68	0.0660377	0.00243584
69	0.0660377	0.00314465
70	0.0660377	0.00243584
71	0.0679245	0.00235324
72	0.0707547	0.00322231
73	0.0698113	0.00320693
74	0.0698113	0.00251572
75	0.0726415	0.00245605
76	0.0735849	0.0033869
77	0.0716981	0.00251572
78	0.0754717	0.00281266
79	0.0745283	0.00296666
80	0.0754717	0.00314465
81	0.0783019	0.00445832
82	0.0783019	0.0042307
83	0.0783019	0.00345912
84	0.0820755	0.00445832
85	0.0830189	0.00392767
86	0.0839623	0.00475873
87	0.0877359	0.00629716
88	0.090566	0.00510946
89	0.090566	0.00566038
90	0.0896226	0.00632849
91	0.0971698	0.00613812
92	0.095283	0.0058747
93	0.0915094	0.00488182
94	0.095283	0.00570389
95	0.0981132	0.00470649
96	0.103774	0.0050706
97	0.10283	0.00534591
98	0.103774	0.004219
99	0.109434	0.00566038
100	0.110377	0.00508035
