Rep	Year	RepSeason	NInds	NInd_stage1	NInd_stage2	NInd_stage3	NInd_stage4	NJuvs	NOccupPatches	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	40	0	0	20	20	168	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	1	0	181	168	0	4	9	67	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	2	0	127	67	58	1	1	12	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	3	0	77	12	26	39	0	184	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	4	0	227	184	4	32	7	169	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	5	0	281	169	94	7	11	93	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	6	0	229	93	74	57	5	271	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	7	0	369	271	23	64	11	361	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	8	0	523	361	110	33	19	242	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	9	0	473	242	139	82	10	375	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	10	0	613	375	104	112	22	519	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	11	0	783	519	160	81	23	407	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	12	0	773	407	234	115	17	547	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	13	0	913	547	177	166	23	793	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	14	0	1178	793	218	133	34	647	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	15	0	1163	647	312	175	29	808	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	16	0	1393	808	284	257	44	1211	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	17	0	1839	1211	333	248	47	1088	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
