Year	Mean_OccupSuit	Std_error
0	0.00943396	0
1	0.00943396	0
2	0.00943396	0
3	0.00943396	0
4	0.00943396	0
5	0.00943396	0
6	0.00990566	0.000471698
7	0.00990566	0.000471698
8	0.00990566	0.000471698
9	0.00990566	0.000471698
10	0.00990566	0.000471698
11	0.00943396	0
12	0.0108491	0.000772809
13	0.0108491	0.000772809
14	0.0113208	0.00086572
15	0.0113208	0.00086572
16	0.0127358	0.00123858
17	0.0127358	0.0010323
18	0.0165094	0.0016589
19	0.0188679	0.00136882
20	0.0207547	0.00161961
21	0.0240566	0.00144782
22	0.0273585	0.0013516
23	0.0311321	0.00120503
24	0.0353774	0.000937169
25	0.0367925	0.000649289
26	0.0358491	0.000865719
27	0.0377358	0
28	0.0377358	0
29	0.0377358	0
30	0.0377358	0
31	0.0377358	0
32	0.0377358	0
33	0.0377358	0
34	0.0382075	0.000471696
35	0.0377358	0
36	0.0382075	0.000471696
37	0.0382075	0.000471696
38	0.0382075	0.000471696
39	0.0382075	0.000471696
40	0.0391509	0.000772808
41	0.0391509	0.000772808
42	0.0391509	0.000772808
43	0.0415094	0.00106028
44	0.0433962	0.00143563
45	0.0433962	0.00159043
46	0.0481132	0.00192367
47	0.0471698	0.00181078
48	0.05	0.00154562
49	0.0523585	0.00144782
50	0.0523585	0.00160144
51	0.0533019	0.00219386
52	0.059434	0.00228023
53	0.059434	0.00154562
54	0.0589623	0.00179454
55	0.0617925	0.00269236
56	0.0632075	0.00217509
57	0.0641509	0.00222828
58	0.065566	0.00241734
59	0.0674528	0.00184601
60	0.0660377	0.00226994
61	0.0688679	0.00217509
62	0.0698113	0.00231084
63	0.0707547	0.00221775
64	0.0726415	0.00206461
65	0.0712264	0.0022151
66	0.0740566	0.00249364
67	0.075	0.00251236
68	0.0754717	0.0021643
69	0.075	0.00231843
70	0.0792453	0.00231084
71	0.079717	0.00269236
72	0.079717	0.00260391
73	0.0811321	0.00241006
74	0.0849057	0.00328232
75	0.0853774	0.00294178
76	0.0858491	0.00305312
77	0.0900943	0.00309691
78	0.0910377	0.00357437
79	0.0929245	0.00376582
80	0.0957547	0.00394799
81	0.0990566	0.00365376
82	0.100943	0.0034289
83	0.102358	0.00394799
84	0.106604	0.00422454
85	0.110377	0.00405481
86	0.108019	0.00407642
87	0.114151	0.00448277
88	0.116981	0.00466204
89	0.115566	0.00448146
90	0.116509	0.0047058
91	0.120755	0.00523921
92	0.121226	0.00485281
93	0.124057	0.00535746
94	0.126415	0.00504797
95	0.129717	0.00468584
96	0.13066	0.00475531
97	0.136792	0.00481526
98	0.136321	0.00558016
99	0.141509	0.00502938
100	0.143868	0.00542696
