Rep	Year	RepSeason	NInds	NInd_stage1	NInd_stage2	NInd_stage3	NInd_stage4	NJuvs	NOccupPatches	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	40	0	0	20	20	218	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	1	0	231	218	0	4	9	68	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	2	0	160	68	91	0	1	4	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	3	0	110	4	41	65	0	281	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	4	0	336	281	2	40	13	244	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	5	0	370	244	111	5	10	78	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	6	0	254	78	106	65	5	280	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	7	0	410	280	34	88	8	413	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	8	0	582	413	114	39	16	270	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	9	0	524	270	160	82	12	372	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	10	0	630	372	123	123	12	534	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	11	0	810	534	155	92	29	547	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	12	0	940	547	240	124	29	659	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	13	0	1115	659	241	186	29	864	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	14	0	1345	864	276	178	27	758	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	15	0	1385	758	358	225	44	1059	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	16	0	1746	1059	350	294	43	1214	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	17	0	2010	1214	446	296	54	1246	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
0	18	0	2187	1246	525	360	56	1446	2	0.0188679	3.6661e+06	3.7541e+06	2.7003e+06	2.7843e+06
0	19	0	2460	1446	533	416	65	1664	1	0.00943396	3.6661e+06	3.7541e+06	2.7443e+06	2.7843e+06
