Rep	Year	RepSeason	NInds	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	10560	2112	1	0	6500	0	6500
0	1	0	12433	2102	0.995265	0	6500	0	6500
0	2	0	13994	2078	0.983902	0	6500	0	6500
0	3	0	14892	2051	0.971117	0	6500	0	6500
0	4	0	15462	2018	0.955492	0	6500	0	6500
0	5	0	15976	1993	0.943655	0	6500	0	6500
0	6	0	16199	1972	0.933712	0	6500	0	6500
0	7	0	16014	1946	0.921402	0	6500	0	6500
0	8	0	16073	1928	0.912879	0	6500	0	6500
0	9	0	16286	1898	0.898674	0	6500	0	6500
0	10	0	16179	1871	0.88589	0	6500	0	6500
0	11	0	16182	1848	0.875	0	6500	0	6500
0	12	0	16039	1834	0.868371	0	6500	0	6500
0	13	0	15835	1818	0.860795	0	6500	0	6500
0	14	0	15737	1799	0.851799	0	6500	0	6500
0	15	0	15937	1777	0.841383	0	6500	0	6500
0	16	0	15784	1763	0.834754	0	6500	0	6500
0	17	0	15575	1748	0.827652	0	6500	0	6500
0	18	0	15315	1739	0.82339	0	6500	0	6500
0	19	0	15071	1727	0.817708	0	6500	0	6500
0	20	0	14975	1717	0.812973	0	6500	0	6500
0	21	0	14780	1702	0.805871	0	6500	0	6500
0	22	0	14976	1682	0.796402	0	6500	0	6500
0	23	0	14644	1670	0.79072	0	6500	0	6500
0	24	0	14646	1659	0.785511	0	6500	0	6500
0	25	0	14349	1643	0.777936	0	6500	0	6500
0	26	0	14233	1631	0.772254	0	6500	0	6500
0	27	0	13917	1616	0.765152	0	6500	0	6500
0	28	0	13882	1597	0.756155	0	6500	0	6500
0	29	0	13902	1585	0.750473	0	6500	0	6500
0	30	0	13966	1573	0.744792	0	6500	0	6500
0	31	0	13590	1555	0.736269	0	6500	0	6500
0	32	0	13306	1541	0.72964	0	6500	0	6500
0	33	0	13141	1527	0.723011	0	6500	0	6500
0	34	0	13040	1509	0.714489	0	6500	0	6500
0	35	0	12978	1498	0.70928	0	6500	0	6500
0	36	0	12873	1479	0.700284	0	6500	0	6500
0	37	0	12892	1462	0.692235	0	6500	0	6500
0	38	0	12914	1452	0.6875	0	6500	0	6500
0	39	0	12687	1443	0.683239	0	6500	0	6500
0	40	0	12407	1434	0.678977	0	6500	0	6500
0	41	0	12349	1424	0.674242	0	6500	0	6500
0	42	0	12195	1414	0.669508	0	6500	0	6500
0	43	0	11958	1395	0.660511	0	6500	0	6500
0	44	0	11958	1382	0.654356	0	6500	0	6500
0	45	0	12108	1369	0.648201	0	6500	0	6500
0	46	0	12024	1357	0.642519	0	6500	0	6500
0	47	0	11958	1342	0.635417	0	6500	0	6500
0	48	0	11758	1336	0.632576	0	6500	0	6500
0	49	0	11764	1319	0.624527	0	6500	0	6500
0	50	0	11503	1307	0.618845	0	6500	0	6500
1	0	0	10560	2112	1	0	6500	0	6500
1	1	0	12508	2104	0.996212	0	6500	0	6500
1	2	0	14033	2078	0.983902	0	6500	0	6500
1	3	0	15077	2049	0.97017	0	6500	0	6500
1	4	0	15673	2019	0.955966	0	6500	0	6500
1	5	0	16281	1996	0.945076	0	6500	0	6500
1	6	0	16559	1967	0.931345	0	6500	0	6500
1	7	0	16503	1952	0.924242	0	6500	0	6500
1	8	0	16366	1937	0.91714	0	6500	0	6500
1	9	0	16391	1914	0.90625	0	6500	0	6500
1	10	0	16283	1894	0.89678	0	6500	0	6500
1	11	0	16304	1873	0.886837	0	6500	0	6500
1	12	0	16149	1852	0.876894	0	6500	0	6500
1	13	0	16226	1841	0.871686	0	6500	0	6500
1	14	0	16028	1830	0.866477	0	6500	0	6500
1	15	0	15828	1818	0.860795	0	6500	0	6500
1	16	0	15837	1801	0.852746	0	6500	0	6500
1	17	0	15466	1783	0.844223	0	6500	0	6500
1	18	0	15355	1770	0.838068	0	6500	0	6500
1	19	0	15105	1751	0.829072	0	6500	0	6500
1	20	0	14990	1734	0.821023	0	6500	0	6500
1	21	0	15091	1719	0.81392	0	6500	0	6500
1	22	0	15187	1704	0.806818	0	6500	0	6500
1	23	0	14834	1684	0.797348	0	6500	0	6500
1	24	0	14591	1673	0.79214	0	6500	0	6500
1	25	0	14436	1652	0.782197	0	6500	0	6500
1	26	0	14253	1638	0.775568	0	6500	0	6500
1	27	0	14273	1620	0.767045	0	6500	0	6500
1	28	0	14254	1601	0.758049	0	6500	0	6500
1	29	0	14138	1583	0.749527	0	6500	0	6500
1	30	0	14171	1573	0.744792	0	6500	0	6500
1	31	0	13888	1560	0.738636	0	6500	0	6500
1	32	0	13553	1544	0.731061	0	6500	0	6500
1	33	0	13899	1527	0.723011	0	6500	0	6500
1	34	0	13777	1514	0.716856	0	6500	0	6500
1	35	0	13487	1502	0.711174	0	6500	0	6500
1	36	0	13215	1493	0.706913	0	6500	0	6500
1	37	0	13270	1480	0.700758	0	6500	0	6500
1	38	0	13018	1468	0.695076	0	6500	0	6500
1	39	0	13118	1448	0.685606	0	6500	0	6500
1	40	0	12884	1438	0.680871	0	6500	0	6500
1	41	0	12929	1428	0.676136	0	6500	0	6500
1	42	0	12970	1413	0.669034	0	6500	0	6500
1	43	0	12612	1403	0.664299	0	6500	0	6500
1	44	0	12558	1393	0.659564	0	6500	0	6500
1	45	0	12351	1380	0.653409	0	6500	0	6500
1	46	0	12168	1367	0.647254	0	6500	0	6500
1	47	0	11959	1359	0.643466	0	6500	0	6500
1	48	0	11695	1349	0.638731	0	6500	0	6500
1	49	0	11693	1338	0.633523	0	6500	0	6500
1	50	0	11538	1321	0.625473	0	6500	0	6500
