Rep	Year	RepSeason	NInds	NInd_stage1	NInd_stage2	NJuvs	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
1	24	0	28325	20468	7857	40372	4307	0.649525	0	1290	10	2570
1	25	0	28456	20586	7870	40519	4326	0.65239	0	1290	10	2570
1	26	0	28573	20648	7925	41204	4384	0.661137	0	1290	10	2570
1	27	0	28446	20496	7950	40409	4380	0.660534	0	1290	0	2570
1	28	0	28613	20569	8044	41061	4361	0.657669	0	1290	0	2570
1	29	0	28605	20579	8026	40546	4327	0.652541	0	1290	0	2570
1	30	0	28668	20487	8181	41372	4340	0.654502	0	1290	0	2570
1	31	0	28827	20784	8043	40509	4327	0.652541	0	1290	0	2570
1	32	0	28699	20637	8062	41402	4377	0.660081	0	1290	0	2570
1	33	0	28762	20712	8050	40770	4365	0.658272	0	1290	0	2570
1	34	0	28560	20524	8036	40703	4346	0.655406	0	1290	0	2570
1	35	0	28523	20506	8017	40442	4314	0.650581	0	1290	0	2570
1	36	0	28427	20412	8015	41012	4339	0.654351	0	1290	0	2570
1	37	0	28603	20713	7890	40619	4327	0.652541	0	1290	0	2570
1	38	0	28517	20521	7996	40209	4326	0.65239	0	1290	0	2570
1	39	0	28302	20493	7809	40342	4320	0.651485	0	1290	0	2570
1	40	0	28515	20616	7899	41269	4346	0.655406	0	1290	0	2570
1	41	0	28826	20947	7879	41623	4374	0.659629	0	1290	0	2570
1	42	0	28948	20969	7979	41665	4413	0.66551	0	1290	0	2570
1	43	0	28884	20911	7973	41171	4392	0.662344	0	1290	0	2570
1	44	0	28837	20905	7932	41121	4349	0.655859	0	1290	0	2570
1	45	0	28940	20903	8037	41174	4372	0.659327	0	1290	0	2570
1	46	0	28739	20659	8080	40581	4377	0.660081	0	1290	0	2570
1	47	0	28900	20745	8155	41332	4386	0.661439	0	1290	0	2570
1	48	0	29085	20960	8125	41182	4363	0.65797	0	1290	0	2570
1	49	0	28869	20805	8064	40581	4308	0.649676	0	1290	0	2570
1	50	0	28814	20844	7970	0	4356	0.656914	0	1290	0	2570
